,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99050.88822411805
2018-02-02,97075.3026269798
2018-02-05,93247.92120165686
2018-02-06,95718.93170124722
2018-02-07,94480.51185224438
2018-02-08,90493.91925847667
2018-02-09,92056.69507467782
2018-02-12,93690.2282455849
2018-02-13,94173.83335646195
2018-02-14,95937.08992663138
2018-02-15,97718.09042487612
2018-02-16,97281.70751744836
2018-02-20,97476.29261634185
2018-02-21,97199.16834640132
2018-02-22,97187.33906101776
2018-02-23,99174.73495592258
2018-02-26,100489.84578994014
2018-02-27,99245.50180443702
2018-02-28,98608.57168638152
2018-03-01,96804.80822210104
2018-03-02,97693.5387247863
2018-03-05,98776.47501978852
2018-03-06,99194.36283118238
2018-03-07,99423.89082644407
2018-03-08,99971.2333746495
2018-03-09,101913.4523700966
2018-03-12,102454.92999243757
2018-03-13,101060.0535451959
2018-03-14,101042.364019204
2018-03-15,100954.11536088132
2018-03-16,100653.92401005053
2018-03-19,98506.35681062793
2018-03-20,98830.61425466675
2018-03-21,98400.2859785555
2018-03-22,95971.51500735288
2018-03-23,93442.52865510245
2018-03-26,96914.71636431097
2018-03-27,93778.53490054992
2018-03-28,92699.7485854001
2018-03-29,94397.51671282857
2018-04-02,90609.04332106184
2018-04-03,92325.27673930509
2018-04-04,93513.01588068779
2018-04-05,92555.48429733269
2018-04-06,89756.16272319507
2018-04-09,90321.25473005096
2018-04-10,93209.54809938869
2018-04-11,93246.16525836826
2018-04-12,95004.24870868192
2018-04-13,94303.1020014647
2018-04-16,94470.53451138671
2018-04-17,96260.01520024528
2018-04-18,95312.93641041567
2018-04-19,91189.83394719017
2018-04-20,90111.99161704279
2018-04-23,88913.77377682229
2018-04-24,88196.91549767644
2018-04-25,88087.02516276922
2018-04-26,89886.9845504656
2018-04-27,89259.11101917604
2018-04-30,88280.64146712958
2018-05-01,89111.55437678311
2018-05-02,88586.00998981467
2018-05-03,88575.06444791966
2018-05-04,90255.70665282893
2018-05-07,91005.68744064773
2018-05-08,90912.59754253746
2018-05-09,91903.45064138334
2018-05-10,92855.99434359671
2018-05-11,92768.39481376819
2018-05-14,92927.14916458138
2018-05-15,91897.97787043585
2018-05-16,92505.6402176182
2018-05-17,92149.78692469082
2018-05-18,91673.55026825261
2018-05-21,92188.11391865759
2018-05-22,92067.67776314403
2018-05-23,92845.0488017017
2018-05-24,92817.67614829708
2018-05-25,92910.75724774023
2018-05-29,92500.15864800358
2018-05-30,93162.54870466096
2018-05-31,93102.34822423843
2018-06-01,94375.07012258613
2018-06-04,95227.36246210596
2018-06-05,95522.37187317651
2018-06-06,96079.63723945105
2018-06-07,95298.38389670348
2018-06-08,95303.83695195634
2018-06-11,95560.61350864539
2018-06-12,96063.2517304304
2018-06-13,96057.77233191546
2018-06-14,97030.27775744422
2018-06-15,96691.55609347721
2018-06-18,96635.6908156694
2018-06-19,96361.95797928107
2018-06-20,97046.3383662324
2018-06-21,96203.16957648346
2018-06-22,95989.63987506059
2018-06-25,93826.96343043192
2018-06-26,94210.24033168229
2018-06-27,92929.05334205773
2018-06-28,93728.42206803658
2018-06-29,93980.2724347146
2018-07-02,94420.89825787232
2018-07-03,93328.04942482228
2018-07-05,94486.43203043414
2018-07-06,95956.2972354261
2018-07-09,96819.65517491153
2018-07-10,96890.70121585278
2018-07-11,96398.89996118624
2018-07-12,98060.02072279615
2018-07-13,98141.99490152618
2018-07-16,97907.01803021034
2018-07-17,98502.61468501356
2018-07-18,98316.8363426041
2018-07-19,97825.05261502304
2018-07-20,97803.19633944547
2018-07-23,98114.67017528284
2018-07-24,98519.00250992537
2018-07-25,99895.99168902672
2018-07-26,98382.42269642232
2018-07-27,97054.60575559917
2018-07-30,95683.1113177918
2018-07-31,96415.30531318353
2018-08-01,96588.01538362651
2018-08-02,97902.27304020125
2018-08-03,98202.2095013115
2018-08-06,98780.25232477035
2018-08-07,99140.16033524295
2018-08-08,99260.15591016662
2018-08-09,99200.14063063847
2018-08-10,98442.11319082727
2018-08-13,98333.08514148336
2018-08-14,98949.28690760926
2018-08-15,97738.6872360196
2018-08-16,98060.41006572568
2018-08-17,98082.22267242098
2018-08-20,97994.97224563974
2018-08-21,98354.8890021455
2018-08-22,98736.60961931341
2018-08-23,98594.8276757939
2018-08-24,99510.98339509637
2018-08-27,100525.26960642825
2018-08-28,100672.52656670447
2018-08-29,101834.07848434574
2018-08-30,101654.12010609286
2018-08-31,101784.98700023156
2018-09-04,101146.2137058918
2018-09-05,99840.07220207878
2018-09-06,98947.50726023896
2018-09-07,98566.56677874396
2018-09-10,98898.52258956668
2018-09-11,99660.45592390808
2018-09-12,99366.58281410871
2018-09-13,100427.82715023607
2018-09-14,100133.94531187815
2018-09-17,98691.74303713866
2018-09-18,99508.06401990466
2018-09-19,99431.86370362368
2018-09-20,100531.26056924292
2018-09-21,99981.55340787473
2018-09-24,100259.63655522824
2018-09-25,100395.9068115603
2018-09-26,100466.78270711604
2018-09-27,101317.33709657782
2018-09-28,101295.53315728
2018-10-01,101299.90288646222
2018-10-02,101071.3666824218
2018-10-03,101180.18597957725
2018-10-04,99237.6848675064
2018-10-05,98024.26085081055
2018-10-08,97425.71987198007
2018-10-09,97741.3237093113
2018-10-10,93442.74369369913
2018-10-11,92283.7380366999
2018-10-12,94852.01979636565
2018-10-15,93703.92917133374
2018-10-16,96429.95187183289
2018-10-17,96468.07172808907
2018-10-18,94231.70973143275
2018-10-19,94144.65080926084
2018-10-22,94628.91061939277
