,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99050.88822411805
2018-02-02,97075.3026269798
2018-02-05,93247.92120165686
2018-02-06,95718.93170124722
2018-02-07,94480.51185224438
2018-02-08,90493.91925847667
2018-02-09,92056.69507467782
2018-02-12,93690.2282455849
2018-02-13,94173.83335646195
2018-02-14,95937.08992663138
2018-02-15,97718.09042487612
2018-02-16,97281.70751744836
2018-02-20,97476.29261634185
2018-02-21,97199.16834640132
2018-02-22,97187.33906101776
2018-02-23,99174.73495592258
2018-02-26,100489.84578994014
2018-02-27,99245.50180443702
2018-02-28,98608.57168638152
2018-03-01,96804.80822210104
2018-03-02,97693.5387247863
2018-03-05,98776.47501978852
2018-03-06,99194.36283118238
2018-03-07,99423.89082644407
2018-03-08,99971.2333746495
2018-03-09,101913.4523700966
2018-03-12,102454.92999243757
2018-03-13,101060.0535451959
2018-03-14,101042.364019204
2018-03-15,100954.11536088132
2018-03-16,100653.92401005053
2018-03-19,98506.35681062793
2018-03-20,98830.61425466675
2018-03-21,98400.2859785555
2018-03-22,95971.51500735288
2018-03-23,93442.52865510245
2018-03-26,96914.71636431097
2018-03-27,93778.53490054992
2018-03-28,92699.7485854001
2018-03-29,94397.51671282857
2018-04-02,95309.85004346838
2018-04-03,94590.87025997751
2018-04-04,94703.20638712969
2018-04-05,94216.40126562121
2018-04-06,94658.27193626881
2018-04-09,94980.31549997296
2018-04-10,95204.9991821641
2018-04-11,95946.44619108542
2018-04-12,94830.5301878078
2018-04-13,95452.14437584227
2018-04-16,95586.95344236828
2018-04-17,95676.82805803341
2018-04-18,95751.72071411599
2018-04-19,95564.48621693783
2018-04-20,94838.01545365568
2018-04-23,94081.5921990952
2018-04-24,94538.44482932537
2018-04-25,93924.31590713878
2018-04-26,93594.78136364334
2018-04-27,93991.71758343007
2018-04-30,93310.18127100878
2018-05-01,93082.36759059946
2018-05-02,93115.92121619493
2018-05-03,93183.13023755752
2018-05-04,93149.51554985906
2018-05-07,93149.51554985906
2018-05-08,93160.72044575855
2018-05-09,93115.92121619493
2018-05-10,93115.92121619493
2018-05-11,93115.92121619493
2018-05-14,93115.92121619493
2018-05-15,93059.91709073182
2018-05-16,93059.91709073182
2018-05-17,93082.36759059946
2018-05-18,93127.11593507725
2018-05-21,93127.11593507725
2018-05-22,93127.11593507725
2018-05-23,93205.55020637366
2018-05-24,93261.4830927166
2018-05-25,93339.82577085852
2018-05-29,93608.64150227455
2018-05-30,93496.63325134834
2018-05-31,93451.87472985339
2018-06-01,94729.37470357977
2018-06-04,95584.8667342876
2018-06-05,95880.98367498057
2018-06-06,96440.34113688846
2018-06-07,95656.15479882875
2018-06-08,95661.62832603944
2018-06-11,95919.36887788323
2018-06-12,96423.89411309594
2018-06-13,96418.39414372481
2018-06-14,97394.55056656523
2018-06-15,97054.55726765195
2018-06-18,96998.4822594162
2018-06-19,96723.72177030373
2018-06-20,97410.671470379
2018-06-21,96564.33724123625
2018-06-22,96350.00590277837
2018-06-25,94179.21029945088
2018-06-26,94563.92610571849
2018-06-27,93277.92926091772
2018-06-28,94080.29899130536
2018-06-29,94333.09485914723
2018-07-02,94775.37488767345
2018-07-03,93678.42326193271
2018-07-05,94841.15468829965
2018-07-06,96316.53808760813
2018-07-09,97183.13726095542
2018-07-10,97254.45002421786
2018-07-11,96760.80244045997
2018-07-12,98428.15941142748
2018-07-13,98510.44133908961
2018-07-16,98274.58231338886
2018-07-17,98872.41496783633
2018-07-18,98685.93917304164
2018-07-19,98192.3091821697
2018-07-20,98170.37085337033
2018-07-23,98483.0140298689
2018-07-24,98888.86431621437
2018-07-25,100271.02301278998
2018-07-26,98751.77175232573
2018-07-27,97418.96989732722
2018-07-30,96042.3265705019
2018-07-31,96777.26938172398
2018-08-01,96950.62784341122
2018-08-02,98269.81950965319
2018-08-03,98570.88199760548
2018-08-06,99151.0949198001
2018-08-07,99512.35410338105
2018-08-08,99632.80016784437
2018-08-09,99572.55957787737
2018-08-10,98811.68633785541
2018-08-13,98702.2489734531
2018-08-14,99320.76409530177
2018-08-15,98105.61956871135
2018-08-16,98428.55021603522
2018-08-17,98450.44471200982
2018-08-20,98362.86672811142
2018-08-21,98724.13469056002
2018-08-22,99107.28837011557
2018-08-23,98964.97414628064
2018-08-24,99884.56931381696
2018-08-27,100902.66337663596
2018-08-28,101050.4731716337
2018-08-29,102216.38580831811
2018-08-30,102035.75182709382
2018-08-31,102167.11002407376
2018-09-04,101525.93863557515
2018-09-05,100214.89359190117
2018-09-06,99318.97776674737
2018-09-07,98936.60715166408
2018-09-10,99269.80919694586
2018-09-11,100034.60299507731
2018-09-12,99739.62662157814
2018-09-13,100804.85510022698
2018-09-14,100509.86996540034
2018-09-17,99062.25334901325
2018-09-18,99881.63897865453
2018-09-19,99805.1525897794
2018-09-20,100908.67683083068
2018-09-21,100356.90594897757
2018-09-24,100636.03308107065
2018-09-25,100772.81492564321
2018-09-26,100843.9569047573
2018-09-27,101697.7044607638
2018-09-28,101675.81866472599
2018-10-01,101680.20479882386
2018-10-02,101450.81062006713
2018-10-03,101560.03844857977
2018-10-04,99610.2447639927
2018-10-05,98392.26528908905
2018-10-08,97791.47725698023
2018-10-09,98108.26593989832
2018-10-10,93793.54811809094
2018-10-11,92630.19130126594
2018-10-12,95208.1149503793
2018-10-15,94055.7141429304
2018-10-16,96791.97092674651
2018-10-17,96830.23389325078
2018-10-18,94585.47610627455
2018-10-19,94498.09034593552
2018-10-22,94984.16817293248
