,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99050.88822411805
2018-02-02,97075.3026269798
2018-02-05,93247.92120165686
2018-02-06,95718.93170124722
2018-02-07,94480.51185224438
2018-02-08,90493.91925847667
2018-02-09,92056.69507467782
2018-02-12,93690.2282455849
2018-02-13,94173.83335646195
2018-02-14,95937.08992663138
2018-02-15,97718.09042487612
2018-02-16,97281.70751744836
2018-02-20,97476.29261634185
2018-02-21,97199.16834640132
2018-02-22,97187.33906101776
2018-02-23,99174.73495592258
2018-02-26,100489.84578994014
2018-02-27,99245.50180443702
2018-02-28,98608.57168638152
2018-03-01,96804.80822210104
2018-03-02,97693.5387247863
2018-03-05,98776.47501978852
2018-03-06,99194.36283118238
2018-03-07,99423.89082644407
2018-03-08,99971.2333746495
2018-03-09,101913.4523700966
2018-03-12,102454.92999243757
2018-03-13,101060.0535451959
2018-03-14,101042.364019204
2018-03-15,100954.11536088132
2018-03-16,100653.92401005053
2018-03-19,98506.35681062793
2018-03-20,98830.61425466675
2018-03-21,98400.2859785555
2018-03-22,95971.51500735288
2018-03-23,93442.52865510245
2018-03-26,96914.71636431097
2018-03-27,93778.53490054992
2018-03-28,92699.7485854001
2018-03-29,94397.51671282857
2018-04-02,90609.04332106184
2018-04-03,92325.27673930509
2018-04-04,93513.01588068779
2018-04-05,92555.48429733269
2018-04-06,89756.16272319507
2018-04-09,90321.25473005096
2018-04-10,93209.54809938869
2018-04-11,93246.16525836826
2018-04-12,95004.24870868192
2018-04-13,94303.1020014647
2018-04-16,94470.53451138671
2018-04-17,96260.01520024528
2018-04-18,95312.93641041567
2018-04-19,91189.83394719017
2018-04-20,90111.99161704279
2018-04-23,88913.77377682229
2018-04-24,88196.91549767644
2018-04-25,88087.02516276922
2018-04-26,89886.9845504656
2018-04-27,89259.11101917604
2018-04-30,88280.64146712958
2018-05-01,88065.10723959323
2018-05-02,88096.85228124644
2018-05-03,88160.43864918023
2018-05-04,88128.63583675059
2018-05-07,88128.63583675059
2018-05-08,88139.23677422713
2018-05-09,88096.85228124644
2018-05-10,88096.85228124644
2018-05-11,88096.85228124644
2018-05-14,88096.85228124644
2018-05-15,88043.86685078919
2018-05-16,88043.86685078919
2018-05-17,88065.10723959323
2018-05-18,88107.44359026024
2018-05-21,88107.44359026024
2018-05-22,88107.44359026024
2018-05-23,88181.65015259606
2018-05-24,88234.56818381413
2018-05-25,88308.68808998528
2018-05-29,88563.01430479498
2018-05-30,88457.0434438805
2018-05-31,88414.69746475074
2018-06-01,88655.91370551656
2018-06-04,87889.84042831186
2018-06-05,87680.921614369
2018-06-06,88098.77178428168
2018-06-07,89433.61971271868
2018-06-08,89259.51756559289
2018-06-11,89723.81086130659
2018-06-12,89038.95975063913
2018-06-13,88702.33174726367
2018-06-14,88574.64764188499
2018-06-15,86672.22909680303
2018-06-18,87537.00812611521
2018-06-19,87338.32987717816
2018-06-20,87723.94076681227
2018-06-21,86099.64794039098
2018-06-22,87817.44157773493
2018-06-25,86052.9100769566
2018-06-26,87139.67671229501
2018-06-27,88308.22990538346
2018-06-28,88191.39465331774
2018-06-29,88740.5912004789
2018-07-02,87257.12294024508
2018-07-03,87805.22219160773
2018-07-05,87711.93948791201
2018-07-06,88248.41047604308
2018-07-09,89566.24067188993
2018-07-10,90230.99806460703
2018-07-11,88318.40536085576
2018-07-12,88470.01713522871
2018-07-13,88936.4682046112
2018-07-16,87910.20826034277
2018-07-17,87560.35900595895
2018-07-18,87618.64426724832
2018-07-19,87641.9821540032
2018-07-20,87338.75860525729
2018-07-23,86953.91190846713
2018-07-24,88050.15422058028
2018-07-25,88784.8689472062
2018-07-26,89752.8561471532
2018-07-27,89367.9906749111
2018-07-30,90102.73043547293
2018-07-31,89939.44032999658
2018-08-01,90100.55009389289
2018-08-02,91326.53384924987
2018-08-03,91606.32467041865
2018-08-06,92145.542462239
2018-08-07,92481.27676217242
2018-08-08,92593.21267126543
2018-08-09,92537.22839953101
2018-08-10,91830.1149026651
2018-08-13,91728.40987039443
2018-08-14,92303.22360765013
2018-08-15,91173.93550787409
2018-08-16,91474.0493865903
2018-08-17,91494.3969199196
2018-08-20,91413.0067866024
2018-08-21,91748.74924512977
2018-08-22,92104.8310783925
2018-08-23,91972.57211175206
2018-08-24,92827.19298736444
2018-08-27,93773.3532871768
2018-08-28,93910.71953363446
2018-08-29,94994.25423849843
2018-08-30,94826.38300923473
2018-08-31,94948.46005061657
2018-09-04,94352.59083250801
2018-09-05,93134.17809748491
2018-09-06,92301.56349271351
2018-09-07,91946.20939625124
2018-09-10,92255.86894400361
2018-09-11,92966.62599068656
2018-09-12,92692.49126759943
2018-09-13,93682.45568595223
2018-09-14,93408.31282057204
2018-09-17,92062.97802117083
2018-09-18,92824.46969597413
2018-09-19,92753.38747747138
2018-09-20,93778.94185883398
2018-09-21,93266.15652585961
2018-09-24,93525.56184078276
2018-09-25,93652.67932019455
2018-09-26,93718.79473992449
2018-09-27,94512.22048814906
2018-09-28,94491.88104005973
2018-10-01,94753.73211316051
2018-10-02,94766.28335794286
2018-10-03,95054.18329846457
2018-10-04,93339.12998183443
2018-10-05,92162.39699244051
2018-10-08,91123.3383509163
2018-10-09,91448.83055030041
2018-10-10,87017.22679663592
2018-10-11,85915.57586582571
2018-10-12,88669.68782398009
2018-10-15,87217.52417153394
2018-10-16,89846.46179703044
2018-10-17,89433.33629428028
2018-10-18,87680.70096470184
2018-10-19,87643.13944358178
2018-10-22,88369.22639276192
