,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99987.68984523666
2018-02-02,97024.97307228453
2018-02-05,92967.6745749942
2018-02-06,95638.50127938126
2018-02-07,94412.52558816667
2018-02-08,90501.18419072058
2018-02-09,92719.55836426454
2018-02-12,94383.3269288608
2018-02-13,94616.88000662264
2018-02-14,96353.62712114102
2018-02-15,98192.52128098314
2018-02-16,98046.5883122623
2018-02-20,98134.1842901799
2018-02-21,97506.5760001867
2018-02-22,97623.34047350593
2018-02-23,99666.58301902316
2018-02-26,101228.21660385739
2018-02-27,100206.60136387961
2018-02-28,99491.46345655817
2018-03-01,97646.76899790691
2018-03-02,98578.95821197936
2018-03-05,99583.99822686739
2018-03-06,99802.47838058606
2018-03-07,100355.93374132758
2018-03-08,100792.90609021959
2018-03-09,102701.02510249054
2018-03-12,103021.4482115323
2018-03-13,101841.62648196028
2018-03-14,101754.28981116434
2018-03-15,101812.5102445434
2018-03-16,101707.26793063791
2018-03-19,99690.98053097418
2018-03-20,99647.15565666536
2018-03-21,99048.07522414032
2018-03-22,96491.16263369688
2018-03-23,93919.6317172716
2018-03-26,97484.71510081994
2018-03-27,94357.9527090878
2018-03-28,93729.67776969048
2018-03-29,95585.27797737347
2018-04-02,93119.53756177725
2018-04-03,94038.19536858679
2018-04-04,95350.5550801748
2018-04-05,95744.27501104705
2018-04-06,93396.61064002801
2018-04-09,94125.68201022738
2018-04-10,96444.19818766136
2018-04-11,95875.48093871627
2018-04-12,97027.47451165417
2018-04-13,96706.65811258313
2018-04-16,97450.37267960105
2018-04-17,99258.49203005173
2018-04-18,98995.99605294246
2018-04-19,97902.40101503924
2018-04-20,96546.2499130476
2018-04-23,96196.32137257898
2018-04-24,94519.3959324017
2018-04-25,94533.9790422411
2018-04-26,96254.64780323868
2018-04-27,96079.63846777001
2018-04-30,95452.6248316548
2018-05-01,96455.25210888949
2018-05-02,96353.35031282174
2018-05-03,96571.65390748133
2018-05-04,98405.27457406333
2018-05-07,99089.26332009307
2018-05-08,99307.54292798256
2018-05-09,100530.00467924408
2018-05-10,101839.7542868913
2018-05-11,101694.21455932323
2018-05-14,101679.66658325895
2018-05-15,100719.15235484985
2018-05-16,101170.30752023331
2018-05-17,100646.41247452844
2018-05-18,100224.38324473618
2018-05-21,101097.51966637169
2018-05-22,100952.03990572887
2018-05-23,101694.21455932323
2018-05-24,101577.77078388372
2018-05-25,101505.0069167922
2018-05-29,100952.03990572887
2018-05-30,101694.21455932323
2018-05-31,101723.32250483685
2018-06-01,103248.3439806909
2018-06-04,104076.23300887443
2018-06-05,104439.3134631506
2018-06-06,105121.9415830103
2018-06-07,104279.56955391444
2018-06-08,104105.24688838804
2018-06-11,104221.45800893156
2018-06-12,104729.8113409538
2018-06-13,104192.43215999572
2018-06-14,104933.13591657157
2018-06-15,104532.29193512321
2018-06-18,104648.88607717847
2018-06-19,104109.65163577294
2018-06-20,104328.27313301545
2018-06-21,103526.62107838545
2018-06-22,103191.41740850994
2018-06-25,101048.85491899995
2018-06-26,101456.96433974894
2018-06-27,100072.32960542043
2018-06-28,101296.63392882294
2018-06-29,101252.90962937444
2018-07-02,101952.49191568962
2018-07-03,100745.13560064824
2018-07-05,102170.6527157292
2018-07-06,103363.39967532798
2018-07-09,104148.87650863043
2018-07-10,104396.19629201868
2018-07-11,103988.89032920044
2018-07-12,105632.5801898283
2018-07-13,105516.21900310183
2018-07-16,105268.95894725014
2018-07-17,106054.44772605991
2018-07-18,105879.84024567998
2018-07-19,105501.68132070308
2018-07-20,105530.76863100787
2018-07-23,106068.9376264294
2018-07-24,106650.7793965837
2018-07-25,107989.0345807503
2018-07-26,106330.78314670907
2018-07-27,104512.54553323785
2018-07-30,102883.41724602334
2018-07-31,103159.7526666725
2018-08-01,103882.74037931532
2018-08-02,105189.24484658877
2018-08-03,105566.6839741985
2018-08-06,106132.84266561309
2018-08-07,106539.32290866367
2018-08-08,106829.63868995085
2018-08-09,106873.21228475228
2018-08-10,106016.71396877019
2018-08-13,105871.5560781266
2018-08-14,106524.77850766291
2018-08-15,105566.6839741985
2018-08-16,106031.22260485045
2018-08-17,106190.96066141529
2018-08-20,106031.22260485045
2018-08-21,106205.43353257504
2018-08-22,106524.77850766291
2018-08-23,106757.05974462905
2018-08-24,107831.31873985686
2018-08-27,108818.45438876213
2018-08-28,109007.20971748748
2018-08-29,109994.34536639274
2018-08-30,109660.44406866396
2018-08-31,109747.54357170618
2018-09-04,109108.1200178649
2018-09-05,107746.27166447982
2018-09-06,106963.90666846767
2018-09-07,106601.71321060612
2018-09-10,106934.9354750542
2018-09-11,107847.68868815803
2018-09-12,107398.55785441466
2018-09-13,108659.00108194225
2018-09-14,108572.06370606042
2018-09-17,107210.21535267534
2018-09-18,107891.15142718858
2018-09-19,107615.87154956744
2018-09-20,108890.81822053282
2018-09-21,108460.49784132198
2018-09-24,108998.38641751483
2018-09-25,108867.58177669853
2018-09-26,108460.49784132198
2018-09-27,109100.16037581414
2018-09-28,109507.18482208718
2018-10-01,109810.64553788934
2018-10-02,109825.19124771118
2018-10-03,110158.84014590185
2018-10-04,108171.25498560295
2018-10-05,106807.53235105009
2018-10-08,105603.36131068165
2018-10-09,105980.57609404481
2018-10-10,100844.76499610452
2018-10-11,99568.05539140828
2018-10-12,102759.81159207564
2018-10-15,101076.89077676325
2018-10-16,104123.58172282383
2018-10-17,103644.80819978223
2018-10-18,101613.66902835967
2018-10-19,101570.13876533369
2018-10-22,102411.6051100143
