,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99407.31257265383
2018-02-02,96732.01729948474
2018-02-05,92177.59801140364
2018-02-06,95513.55188959386
2018-02-07,93466.46928658034
2018-02-08,89540.2290876831
2018-02-09,92118.01193520256
2018-02-12,93888.89104590665
2018-02-13,93780.58569594965
2018-02-14,95979.27295384221
2018-02-15,97121.92596200205
2018-02-16,96775.36361776717
2018-02-20,98486.67008465886
2018-02-21,97354.84358177813
2018-02-22,97138.20601708675
2018-02-23,99217.75470354887
2018-02-26,101356.87603382338
2018-02-27,101021.12004628459
2018-02-28,100122.15071743084
2018-03-01,98343.93799887886
2018-03-02,100014.00151060543
2018-03-05,100911.17469694398
2018-03-06,102429.88954076725
2018-03-07,102759.5856557729
2018-03-08,102851.45389502367
2018-03-09,104986.31466215708
2018-03-12,106099.68586812455
2018-03-13,104462.07049197459
2018-03-14,104451.23210419781
2018-03-15,104370.18884717306
2018-03-16,104326.93583769654
2018-03-19,102338.02130151646
2018-03-20,103089.27506800316
2018-03-21,103283.8499342815
2018-03-22,100562.6370803672
2018-03-23,97215.96814815083
2018-03-26,101272.03201465477
2018-03-27,97546.29432404146
2018-03-28,95434.30342647785
2018-03-29,97502.96088126047
2018-04-02,93589.85611134517
2018-04-03,95362.5493523247
2018-04-04,96589.36216554398
2018-04-05,95600.3301680343
2018-04-06,92708.91785718358
2018-04-09,93292.59998948372
2018-04-10,96275.91104692247
2018-04-11,96313.732819612
2018-04-12,98129.65285491763
2018-04-13,97405.44016006679
2018-04-16,97578.38078428723
2018-04-17,99426.73094941226
2018-04-18,98448.49561640927
2018-04-19,94189.75330855501
2018-04-20,93076.45263908681
2018-04-23,91838.81640382798
2018-04-24,91098.37526530102
2018-04-25,90984.86981093315
2018-04-26,92844.04339809771
2018-04-27,92195.51438492522
2018-04-30,91184.85561148605
2018-05-01,90674.9680318416
2018-05-02,90575.40516464788
2018-05-03,90981.25121671436
2018-05-04,91119.05745232139
2018-05-07,90973.590847812
2018-05-08,90889.37064695991
2018-05-09,90345.63064513868
2018-05-10,91073.14640549342
2018-05-11,91302.88437744106
2018-05-14,90820.42001732638
2018-05-15,89786.64300063583
2018-05-16,89442.02873320205
2018-05-17,88990.2643247953
2018-05-18,89755.98690600177
2018-05-21,89801.91988136667
2018-05-22,89664.09171722272
2018-05-23,90315.05495514005
2018-05-24,91034.8372514693
2018-05-25,91601.52181243607
2018-05-29,93607.8513706968
2018-05-30,92979.89847753578
2018-05-31,92826.73495656248
2018-06-01,94751.81652895354
2018-06-04,95503.1069616466
2018-06-05,95957.83699138212
2018-06-06,96565.76287569133
2018-06-07,95705.75300161699
2018-06-08,94850.66795733904
2018-06-11,94667.79465016615
2018-06-12,95157.10860889433
2018-06-13,95013.76853171445
2018-06-14,95582.15506822965
2018-06-15,95498.16377844721
2018-06-18,94578.8173525774
2018-06-19,93540.82841212161
2018-06-20,93990.61525865777
2018-06-21,92824.14026182417
2018-06-22,92087.68549653023
2018-06-25,89379.09028651651
2018-06-26,89696.50627304665
2018-06-27,87553.91165716232
2018-06-28,88218.50673203565
2018-06-29,88402.01629051144
2018-07-02,88156.39039836395
2018-07-03,88628.59102814026
2018-07-05,88882.84175534254
2018-07-06,89173.44162544125
2018-07-09,88599.51033330116
2018-07-10,88592.30400873149
2018-07-11,88933.6863786952
2018-07-12,88926.4248332476
2018-07-13,89151.63628126922
2018-07-16,88781.1663138567
2018-07-17,88614.05413202559
2018-07-18,88258.05893724006
2018-07-19,88817.47404109468
2018-07-20,87727.79355432194
2018-07-23,86645.34700255781
2018-07-24,86943.19461288463
2018-07-25,86805.13551545366
2018-07-26,86638.05094406151
2018-07-27,86783.37848954982
2018-07-30,86485.52397661326
2018-07-31,86957.7315089993
2018-08-01,86657.65602411253
2018-08-02,87509.12781672865
2018-08-03,87691.58811899391
2018-08-06,88220.24286724548
2018-08-07,88921.99772387673
2018-08-08,89127.85274008289
2018-08-09,88248.31767812917
2018-08-10,86058.8344463574
2018-08-13,86185.15089762834
2018-08-14,86012.05078924866
2018-08-15,84819.06464758901
2018-08-16,84711.45704254314
2018-08-17,84079.85747386934
2018-08-20,84005.02208896911
2018-08-21,85642.45008777535
2018-08-22,86044.80569707513
2018-08-23,86143.03579591628
2018-08-24,87392.17733011635
2018-08-27,88781.64675255048
2018-08-28,89123.17841391315
2018-08-29,89357.10247022995
2018-08-30,88557.0886608923
2018-08-31,89038.94821048903
2018-09-04,89575.43047911843
2018-09-05,89141.2008321608
2018-09-06,86778.66143290064
2018-09-07,86419.169482782
2018-09-10,87334.28440450743
2018-09-11,86489.1788410909
2018-09-12,85490.02504502822
2018-09-13,86465.8308698352
2018-09-14,87437.00626324367
2018-09-17,86218.39075216623
2018-09-18,86960.76293836045
2018-09-19,87096.16274206582
2018-09-20,88151.37700981153
2018-09-21,87913.2495881269
2018-09-24,88216.73865899284
2018-09-25,86811.3624148419
2018-09-26,85914.2220906224
2018-09-27,86237.81091967344
2018-09-28,86781.82325732574
2018-10-01,86907.97051777998
2018-10-02,86907.97051777998
2018-10-03,86987.51918476586
2018-10-04,85447.71219139987
2018-10-05,83425.83107972171
2018-10-08,82494.46792954879
2018-10-09,82400.84880470298
2018-10-10,78764.27919434871
2018-10-11,77978.01189312027
2018-10-12,79396.12207101718
2018-10-15,78745.57031349328
2018-10-16,81310.35383414196
2018-10-17,80987.43452716211
2018-10-18,78960.86901060003
2018-10-19,77776.74341972108
2018-10-22,78254.13888088538
