,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99050.88822411805
2018-02-02,97075.3026269798
2018-02-05,93247.92120165686
2018-02-06,95718.93170124722
2018-02-07,94480.51185224438
2018-02-08,90493.91925847667
2018-02-09,92056.69507467782
2018-02-12,93690.2282455849
2018-02-13,94173.83335646195
2018-02-14,95937.08992663138
2018-02-15,97718.09042487612
2018-02-16,97281.70751744836
2018-02-20,97476.29261634185
2018-02-21,97199.16834640132
2018-02-22,97187.33906101776
2018-02-23,99174.73495592258
2018-02-26,100489.84578994014
2018-02-27,99245.50180443702
2018-02-28,98608.57168638152
2018-03-01,96857.24078633083
2018-03-02,98502.05740619825
2018-03-05,99385.66773444464
2018-03-06,100881.42367331748
2018-03-07,101206.13566520237
2018-03-08,101296.61510247922
2018-03-09,103399.20248686775
2018-03-12,104495.7424991478
2018-03-13,102882.88348586563
2018-03-14,102872.20894551274
2018-03-15,102792.39084569408
2018-03-16,102749.79170599267
2018-03-19,100790.94423604061
2018-03-20,101530.8410556399
2018-03-21,101722.47447054651
2018-03-22,99042.39907407988
2018-03-23,95746.32282173874
2018-03-26,99741.069855025
2018-03-27,96071.65534967382
2018-03-28,93991.59210361804
2018-03-29,96028.9769926043
2018-04-02,92175.02789686901
2018-04-03,93920.92275908017
2018-04-04,95129.18944503585
2018-04-05,94155.1089650649
2018-04-06,91307.4070720634
2018-04-09,91882.26549222875
2018-04-10,94820.47686865504
2018-04-11,94857.7268773378
2018-04-12,96646.19506040288
2018-04-13,95932.93052378767
2018-04-16,96103.25674849152
2018-04-17,97923.66480458349
2018-04-18,96960.21777243956
2018-04-19,92765.8562535478
2018-04-20,91669.38571144389
2018-04-23,90450.45922463064
2018-04-24,89721.21157498671
2018-04-25,89609.42201939259
2018-04-26,91440.48987634212
2018-04-27,90801.76488663828
2018-04-30,89806.3845697251
2018-05-01,90706.9382365344
2018-05-02,90733.15575284246
2018-05-03,91016.24841832038
2018-05-04,92730.57601962662
2018-05-07,93532.70187291586
2018-05-08,93889.1727600659
2018-05-09,95121.19053327515
2018-05-10,96253.5868818455
2018-05-11,95975.71717030225
2018-05-14,95855.13543216822
2018-05-15,95021.58623307539
2018-05-16,95519.6248585133
2018-05-17,95047.78662494432
2018-05-18,94680.81845660757
2018-05-21,95420.02912053312
2018-05-22,95194.57731716684
2018-05-23,95928.50509162078
2018-05-24,95860.40119720068
2018-05-25,95881.35294847627
2018-05-29,95341.3851338285
2018-05-30,96043.88956247884
2018-05-31,95944.25101340083
2018-06-01,97484.39210448424
2018-06-04,98300.60413477613
2018-06-05,98839.53581821255
2018-06-06,99409.81097332037
2018-06-07,98284.91530871595
2018-06-08,98300.60413477613
2018-06-11,98290.16200762715
2018-06-12,98949.38323597048
2018-06-13,98755.79371832707
2018-06-14,99284.24054905333
2018-06-15,98907.5036409155
2018-06-18,99054.02668037839
2018-06-19,98368.61468304026
2018-06-20,98640.68251143348
2018-06-21,97766.92769536313
2018-06-22,97248.94008201033
2018-06-25,94999.15729791371
2018-06-26,95501.44754009412
2018-06-27,94036.4393183834
2018-06-28,95110.90173058741
2018-06-29,95168.61541861053
2018-07-02,95614.81277919743
2018-07-03,94508.14530943173
2018-07-05,95681.17520012143
2018-07-06,97169.62626317034
2018-07-09,98043.90101874279
2018-07-10,98115.84540847682
2018-07-11,97617.82552350294
2018-07-12,99299.95049324424
2018-07-13,99382.96120270174
2018-07-16,99145.01314276118
2018-07-17,99748.1408792226
2018-07-18,99560.01344392331
2018-07-19,99062.0113076579
2018-07-20,99039.87866821093
2018-07-23,99355.2909662159
2018-07-24,99764.73592163072
2018-07-25,101159.13657856133
2018-07-26,99626.42911097269
2018-07-27,98281.82245562067
2018-07-30,96892.9860187916
2018-07-31,97634.43831461952
2018-08-01,97809.33223487633
2018-08-02,99140.20815424986
2018-08-03,99443.93719203542
2018-08-06,100029.28913597086
2018-08-07,100393.74803939166
2018-08-08,100515.26091040169
2018-08-09,100454.48676165017
2018-08-10,99686.87436782295
2018-08-13,99576.46770237025
2018-08-14,100200.46109355181
2018-08-15,98974.55387295458
2018-08-16,99300.3447592595
2018-08-17,99322.43317764865
2018-08-20,99234.0795040921
2018-08-21,99598.54726413614
2018-08-22,99985.09458594608
2018-08-23,99841.51986641668
2018-08-24,100769.26000863028
2018-08-27,101796.37146372527
2018-08-28,101945.4904294101
2018-08-29,103121.72970681316
2018-08-30,102939.49582679113
2018-08-31,103072.01748050272
2018-09-04,103013.18591373747
2018-09-05,101410.31461582653
2018-09-06,100867.58355428632
2018-09-07,100558.18562368974
2018-09-10,100928.46348354043
2018-09-11,101567.56642386326
2018-09-12,101369.7417657021
2018-09-13,102541.46353613524
2018-09-14,102637.83541491786
2018-09-17,101085.69876832317
2018-09-18,101750.18142674462
2018-09-19,101248.03147695582
2018-09-20,102343.6306163471
2018-09-21,102181.33095422242
2018-09-24,102557.37542970877
2018-09-25,102592.99130364208
2018-09-26,102109.56220060178
2018-09-27,102618.42885312958
2018-09-28,103076.42866830934
2018-10-01,103058.34682250598
2018-10-02,102926.34244749561
2018-10-03,103378.31520358201
2018-10-04,101560.20023014129
2018-10-05,100224.55671254733
2018-10-08,98909.2044358591
2018-10-09,99168.19190765488
2018-10-10,94561.98128061452
2018-10-11,93241.5994805811
2018-10-12,96116.03803331307
2018-10-15,94739.78729854697
2018-10-16,97685.34001333169
2018-10-17,97339.94368144167
2018-10-18,95374.57910567053
2018-10-19,95100.32991631421
2018-10-22,95872.27929859687
