,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99050.88822411805
2018-02-02,97075.3026269798
2018-02-05,93247.92120165686
2018-02-06,95718.93170124722
2018-02-07,94480.51185224438
2018-02-08,90493.91925847667
2018-02-09,92056.69507467782
2018-02-12,93690.2282455849
2018-02-13,94173.83335646195
2018-02-14,95937.08992663138
2018-02-15,97718.09042487612
2018-02-16,97281.70751744836
2018-02-20,97476.29261634185
2018-02-21,97199.16834640132
2018-02-22,97187.33906101776
2018-02-23,99174.73495592258
2018-02-26,100489.84578994014
2018-02-27,99245.50180443702
2018-02-28,98608.57168638152
2018-03-01,96857.24078633083
2018-03-02,98502.05740619825
2018-03-05,99385.66773444464
2018-03-06,100881.42367331748
2018-03-07,101206.13566520237
2018-03-08,101296.61510247922
2018-03-09,103399.20248686775
2018-03-12,104495.7424991478
2018-03-13,102882.88348586563
2018-03-14,102872.20894551274
2018-03-15,102792.39084569408
2018-03-16,102749.79170599267
2018-03-19,100790.94423604061
2018-03-20,101530.8410556399
2018-03-21,101722.47447054651
2018-03-22,99042.39907407988
2018-03-23,95746.32282173874
2018-03-26,99741.069855025
2018-03-27,96071.65534967382
2018-03-28,93991.59210361804
2018-03-29,96028.9769926043
2018-04-02,95864.66478579621
2018-04-03,95818.71030379759
2018-04-04,95761.33511947418
2018-04-05,95784.31236047349
2018-04-06,95864.66478579621
2018-04-09,95853.23363452143
2018-04-10,95807.24780567289
2018-04-11,95807.24780567289
2018-04-12,95749.83082554956
2018-04-13,95726.91627825011
2018-04-16,95715.40153537552
2018-04-17,95715.40153537552
2018-04-18,95634.98641635294
2018-04-19,95634.98641635294
2018-04-20,95600.5989219788
2018-04-23,95589.10507700416
2018-04-24,95612.04052220356
2018-04-25,95600.5989219788
2018-04-26,95623.55526507816
2018-04-27,95646.4698123776
2018-04-30,95612.04052220356
2018-05-01,94839.23641432896
2018-05-02,95227.07447484852
2018-05-03,95007.29864261417
2018-05-04,95472.71409360685
2018-05-07,95601.98413438081
2018-05-08,96351.78948434652
2018-05-09,98316.87151166605
2018-05-10,99053.73449154562
2018-05-11,99195.96785605399
2018-05-14,99881.13818563274
2018-05-15,99906.98800305786
2018-05-16,100256.04784516501
2018-05-17,101768.64282247913
2018-05-18,100979.99639315617
2018-05-21,102014.23354939149
2018-05-22,100656.81430667186
2018-05-23,100643.87892113515
2018-05-24,98989.12042480693
2018-05-25,96416.4524429312
2018-05-29,96119.12017387203
2018-05-30,99027.85673592279
2018-05-31,98278.05138595706
2018-06-01,98546.17719291987
2018-06-04,97694.64242481701
2018-06-05,97462.41707630687
2018-06-06,97926.88171451571
2018-06-07,99410.64241341615
2018-06-08,99217.11780436056
2018-06-11,99733.20666382308
2018-06-12,98971.95503286274
2018-06-13,98597.77353179641
2018-06-14,98455.84526161737
2018-06-15,96341.19698602153
2018-06-18,97302.44890812559
2018-06-19,97081.60654007821
2018-06-20,97510.23535308248
2018-06-21,95704.73990449468
2018-06-22,97614.16691382947
2018-06-25,95652.78806530975
2018-06-26,96860.79205440797
2018-06-27,98159.70653413411
2018-06-28,98029.8373920632
2018-06-29,98640.30112751188
2018-07-02,99102.77546127197
2018-07-03,97955.73752249828
2018-07-05,99171.55873771981
2018-07-06,100714.30747297143
2018-07-09,101620.4751709937
2018-07-10,101695.04404263887
2018-07-11,101178.85673440463
2018-07-12,102922.34446740932
2018-07-13,103008.38335051884
2018-07-16,102761.75510882378
2018-07-17,103386.88453075795
2018-07-18,103191.89433586392
2018-07-19,102675.72542379884
2018-07-20,102652.78540087014
2018-07-23,102979.70372281566
2018-07-24,103404.08494891219
2018-07-25,104849.35238384367
2018-07-26,103260.7328008192
2018-07-27,101867.07581843503
2018-07-30,100427.57558253173
2018-07-31,101196.07554872803
2018-08-01,101377.34947904234
2018-08-02,102756.77483763265
2018-08-03,103071.58370205243
2018-08-06,103678.28888276136
2018-08-07,104056.04299659289
2018-08-08,104181.98857365709
2018-08-09,104118.99742571142
2018-08-10,103323.38305911298
2018-08-13,103208.94883435481
2018-08-14,103855.70507575842
2018-08-15,102585.07760196147
2018-08-16,102922.75311597796
2018-08-17,102945.64730469503
2018-08-20,102854.07054982678
2018-08-21,103231.8338433651
2018-08-22,103632.48214591367
2018-08-23,103483.66991925277
2018-08-24,104445.25338448974
2018-08-27,105509.83315983313
2018-08-28,105664.39188294027
2018-08-29,106883.53956109757
2018-08-30,106694.65791432842
2018-08-31,106832.01386692401
2018-09-04,106161.56688402494
2018-09-05,104790.66011908915
2018-09-06,103853.83718425353
2018-09-07,103454.00770054535
2018-09-10,103802.42359988559
2018-09-11,104602.13753549621
2018-09-12,104293.69267475138
2018-09-13,105407.55900194455
2018-09-14,105099.104979834
2018-09-17,103585.39084620122
2018-09-18,104442.18925155466
2018-09-19,104362.21052890104
2018-09-20,105516.12118561528
2018-09-21,104939.15669589245
2018-09-24,105231.02864606678
2018-09-25,105374.05588754085
2018-09-26,105448.446177111
2018-09-27,106341.17545878145
2018-09-28,106318.29036723635
2018-10-01,106322.87677022509
2018-10-02,106083.00855744942
2018-10-03,106197.22367900435
2018-10-04,104158.40330030945
2018-10-05,102884.81143574681
2018-10-08,102256.59169494953
2018-10-09,102587.84480525495
2018-10-10,98076.11892730287
2018-10-11,96859.643766579
2018-10-12,99555.27423870505
2018-10-15,98350.25533376954
2018-10-16,101211.44835961933
2018-10-17,101251.45839579644
2018-10-18,98904.20598776001
2018-10-19,98812.83023329155
2018-10-22,99321.10215310907
2018-10-23,98955.59913523523
