,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99407.31257265383
2018-02-02,96732.01729948474
2018-02-05,92177.59801140364
2018-02-06,95513.55188959386
2018-02-07,93466.46928658034
2018-02-08,89540.2290876831
2018-02-09,92118.01193520256
2018-02-12,93888.89104590665
2018-02-13,93780.58569594965
2018-02-14,95979.27295384221
2018-02-15,97121.92596200205
2018-02-16,96775.36361776717
2018-02-20,98486.67008465886
2018-02-21,97354.84358177813
2018-02-22,97138.20601708675
2018-02-23,99217.75470354887
2018-02-26,101356.87603382338
2018-02-27,101021.12004628459
2018-02-28,100122.15071743084
2018-03-01,98343.93799887886
2018-03-02,100014.00151060543
2018-03-05,100911.17469694398
2018-03-06,102429.88954076725
2018-03-07,102759.5856557729
2018-03-08,102851.45389502367
2018-03-09,104986.31466215708
2018-03-12,106099.68586812455
2018-03-13,104462.07049197459
2018-03-14,104451.23210419781
2018-03-15,104370.18884717306
2018-03-16,104326.93583769654
2018-03-19,102338.02130151646
2018-03-20,103089.27506800316
2018-03-21,103283.8499342815
2018-03-22,100562.6370803672
2018-03-23,97215.96814815083
2018-03-26,101272.03201465477
2018-03-27,97546.29432404146
2018-03-28,95434.30342647785
2018-03-29,97502.96088126047
2018-04-02,95100.52976150936
2018-04-03,95989.32501310189
2018-04-04,97772.62528698039
2018-04-05,97944.66795297143
2018-04-06,95800.09792141376
2018-04-09,96488.16938086782
2018-04-10,98506.61741189567
2018-04-11,98128.16322851942
2018-04-12,99613.30985860039
2018-04-13,98627.01861900871
2018-04-16,99750.90651413385
2018-04-17,101998.67128166078
2018-04-18,102440.20851074863
2018-04-19,101551.41325915612
2018-04-20,100255.50474348663
2018-04-23,100152.28796207067
2018-04-24,98443.52334346072
2018-04-25,97778.35710312052
2018-04-26,99957.31803151905
2018-04-27,99727.96822684993
2018-04-30,99596.08134200991
2018-05-01,100272.66688147937
2018-05-02,99723.29192731684
2018-05-03,100255.50578959924
2018-05-04,101794.87773264648
2018-05-07,102870.75718583129
2018-05-08,103385.78795483371
2018-05-09,105073.97736644144
2018-05-10,106018.22244434574
2018-05-11,104896.58007948058
2018-05-14,103706.27134569509
2018-05-15,103254.16458025313
2018-05-16,103368.61586225366
2018-05-17,103156.88539083264
2018-05-18,103843.6040835358
2018-05-21,103940.90527435613
2018-05-22,103294.24013007319
2018-05-23,104633.33333031941
2018-05-24,104581.82805327918
2018-05-25,104347.20512531805
2018-05-29,103654.78807005471
2018-05-30,104787.86016214002
2018-05-31,104696.29033597965
2018-06-01,106194.77006186149
2018-06-04,106988.61938397307
2018-06-05,107805.32640217134
2018-06-06,108507.82179097968
2018-06-07,106668.79827700797
2018-06-08,107439.82283919437
2018-06-11,107736.7972287933
2018-06-12,108839.06076726763
2018-06-13,109250.26874369747
2018-06-14,109844.2394803363
2018-06-15,109558.68296006024
2018-06-18,110226.89180473854
2018-06-19,109421.61363458361
2018-06-20,109027.54344085854
2018-06-21,107862.45966366756
2018-06-22,106017.71623631394
2018-06-25,103898.84513672757
2018-06-26,104440.39248296585
2018-06-27,102086.86221135409
2018-06-28,103937.69882858674
2018-06-29,104354.70356944203
2018-07-02,105942.0197242558
2018-07-03,105263.59751079718
2018-07-05,106158.64632043609
2018-07-06,107618.12295242246
2018-07-09,108171.12284801778
2018-07-10,108154.0193066371
2018-07-11,108883.75214423778
2018-07-12,111814.05663746763
2018-07-13,111871.07574659323
2018-07-16,111204.05954631671
2018-07-17,112139.02392370054
2018-07-18,112321.45439390447
2018-07-19,111682.93679140575
2018-07-20,111631.6261672637
2018-07-23,112002.2065494401
2018-07-24,110662.45470711851
2018-07-25,112418.37811399
2018-07-26,112082.02672814495
2018-07-27,109214.39504509926
2018-07-30,105400.4367986276
2018-07-31,105765.26486868046
2018-08-01,106162.76771347094
2018-08-02,107960.67193807385
2018-08-03,107829.81406972637
2018-08-06,108586.5196222887
2018-08-07,108893.77918965694
2018-08-08,109127.05326882938
2018-08-09,109622.04308469676
2018-08-10,109673.26212500257
2018-08-13,109161.18107087772
2018-08-14,109952.05816506167
2018-08-15,108398.77843889623
2018-08-16,108899.45439928945
2018-08-17,108512.57787366619
2018-08-20,108802.74620277695
2018-08-21,109138.43649277437
2018-08-22,110270.65721680161
2018-08-23,110799.80763939729
2018-08-24,113712.89602423656
2018-08-27,113673.06020787575
2018-08-28,114116.85285322397
2018-08-29,115436.84756532364
2018-08-30,114378.56858991891
2018-08-31,114276.16331398726
2018-09-04,114513.47713164504
2018-09-05,111458.55559922468
2018-09-06,112071.79235827523
2018-09-07,112713.44668749586
2018-09-10,113684.42398715531
2018-09-11,114882.5454133586
2018-09-12,115643.4247633581
2018-09-13,116097.69119035502
2018-09-14,116699.58929525553
2018-09-17,114087.60644872744
2018-09-18,114621.35258522848
2018-09-19,113230.16847320377
2018-09-20,114167.08615823156
2018-09-21,113962.65207912395
2018-09-24,114791.70522361367
2018-09-25,115717.24060230989
2018-09-26,115467.40825442057
2018-09-27,116126.07602138897
2018-09-28,116387.29067560985
2018-10-01,115854.4008806558
2018-10-02,114154.31081964575
2018-10-03,114624.64906627906
2018-10-04,112097.23854930609
2018-10-05,111411.5477925262
2018-10-08,108600.73629105293
2018-10-09,108266.3969719572
2018-10-10,103047.18354494231
2018-10-11,102480.46870587047
2018-10-12,106129.96022776744
2018-10-15,104543.22620406108
2018-10-16,108566.75561884046
2018-10-17,108402.40679073587
2018-10-18,105489.6097076608
2018-10-19,103636.51949176585
2018-10-22,104786.90683229249
