,0
2018-01-02,100000.0
2018-01-03,100000.0
2018-01-04,100000.0
2018-01-05,100000.0
2018-01-08,100000.0
2018-01-09,100000.0
2018-01-10,100000.0
2018-01-11,100000.0
2018-01-12,100000.0
2018-01-16,100000.0
2018-01-17,100000.0
2018-01-18,100000.0
2018-01-19,100000.0
2018-01-22,100000.0
2018-01-23,100000.0
2018-01-24,100000.0
2018-01-25,100000.0
2018-01-26,100000.0
2018-01-29,100000.0
2018-01-30,100000.0
2018-01-31,100000.0
2018-02-01,99050.88822411805
2018-02-02,97075.3026269798
2018-02-05,93247.92120165686
2018-02-06,95718.93170124722
2018-02-07,94480.51185224438
2018-02-08,90493.91925847667
2018-02-09,92056.69507467782
2018-02-12,93690.2282455849
2018-02-13,94173.83335646195
2018-02-14,95937.08992663138
2018-02-15,97718.09042487612
2018-02-16,97281.70751744836
2018-02-20,97476.29261634185
2018-02-21,97199.16834640132
2018-02-22,97187.33906101776
2018-02-23,99174.73495592258
2018-02-26,100489.84578994014
2018-02-27,99245.50180443702
2018-02-28,98608.57168638152
2018-03-01,96857.24078633083
2018-03-02,98502.05740619825
2018-03-05,99385.66773444464
2018-03-06,100881.42367331748
2018-03-07,101206.13566520237
2018-03-08,101296.61510247922
2018-03-09,103399.20248686775
2018-03-12,104495.7424991478
2018-03-13,102882.88348586563
2018-03-14,102872.20894551274
2018-03-15,102792.39084569408
2018-03-16,102749.79170599267
2018-03-19,100790.94423604061
2018-03-20,101530.8410556399
2018-03-21,101722.47447054651
2018-03-22,99042.39907407988
2018-03-23,95746.32282173874
2018-03-26,99741.069855025
2018-03-27,96071.65534967382
2018-03-28,93991.59210361804
2018-03-29,96028.9769926043
2018-04-02,95864.66478579621
2018-04-03,95818.71030379759
2018-04-04,95761.33511947418
2018-04-05,95784.31236047349
2018-04-06,95864.66478579621
2018-04-09,95853.23363452143
2018-04-10,95807.24780567289
2018-04-11,95807.24780567289
2018-04-12,95749.83082554956
2018-04-13,95726.91627825011
2018-04-16,95715.40153537552
2018-04-17,95715.40153537552
2018-04-18,95634.98641635294
2018-04-19,95634.98641635294
2018-04-20,95600.5989219788
2018-04-23,95589.10507700416
2018-04-24,95612.04052220356
2018-04-25,95600.5989219788
2018-04-26,95623.55526507816
2018-04-27,95646.4698123776
2018-04-30,95612.04052220356
2018-05-01,95378.60692957613
2018-05-02,95412.98828610552
2018-05-03,95481.85527989385
2018-05-04,95447.41135492672
2018-05-07,95447.41135492672
2018-05-08,95458.8926632491
2018-05-09,95412.98828610552
2018-05-10,95412.98828610552
2018-05-11,95412.98828610552
2018-05-14,95412.98828610552
2018-05-15,95355.60260063957
2018-05-16,95355.60260063957
2018-05-17,95378.60692957613
2018-05-18,95424.45916635494
2018-05-21,95424.45916635494
2018-05-22,95424.45916635494
2018-05-23,95504.82832461153
2018-05-24,95562.14101356681
2018-05-25,95642.41631916682
2018-05-29,95917.8634381742
2018-05-30,95803.0920672423
2018-05-31,95757.22940239054
2018-06-01,97066.24389139136
2018-06-04,97942.83996689241
2018-06-05,98246.26178589647
2018-06-06,98819.41797942056
2018-06-07,98015.88662935536
2018-06-08,98021.49518244505
2018-06-11,98285.59390941601
2018-06-12,98802.56522569209
2018-06-13,98796.92957814303
2018-06-14,99797.16670323824
2018-06-15,99448.78614465203
2018-06-18,99391.3278278136
2018-06-19,99109.78930049448
2018-06-20,99813.6852919678
2018-06-21,98946.47293089541
2018-06-22,98726.85427472439
2018-06-25,96502.50753824176
2018-06-26,96896.71385911
2018-06-27,95578.99289059741
2018-06-28,96401.15619722308
2018-06-29,96660.18826029176
2018-07-02,97113.37884928861
2018-07-03,95989.36663687414
2018-07-05,97180.78136504139
2018-07-06,98692.56084546876
2018-07-09,99580.53806456707
2018-07-10,99653.61003504149
2018-07-11,99147.78470988364
2018-07-12,100856.27353823675
2018-07-13,100940.58527029767
2018-07-16,100698.90786258446
2018-07-17,101311.48838921009
2018-07-18,101120.41244223987
2018-07-19,100614.60514396506
2018-07-20,100592.1256207921
2018-07-23,100912.4813596107
2018-07-24,101328.34352486905
2018-07-25,102744.59855197361
2018-07-26,101187.86903864183
2018-07-27,99822.18843195568
2018-07-30,98411.58483268972
2018-07-31,99164.65787242565
2018-08-01,99342.292896149
2018-08-02,100694.02756573398
2018-08-03,101002.51693319331
2018-08-06,101597.04306820592
2018-08-07,101967.21411737835
2018-08-08,102090.63145340046
2018-08-09,102028.90479452409
2018-08-10,101249.26165091098
2018-08-13,101137.12458743784
2018-08-14,101770.89779512279
2018-08-15,100525.77699336098
2018-08-16,100856.6739835631
2018-08-17,100879.10859260386
2018-08-20,100789.37015644085
2018-08-21,101159.55020104593
2018-08-22,101552.1558592591
2018-08-23,101406.33090049421
2018-08-24,102348.6114665038
2018-08-27,103391.82078689882
2018-08-28,103543.27688650556
2018-08-29,104737.95130193995
2018-08-30,104552.86127963741
2018-08-31,104687.45993844926
2018-09-04,104030.47155900592
2018-09-05,102687.08448018199
2018-09-06,101769.06739981327
2018-09-07,101377.26412340916
2018-09-10,101718.6858956275
2018-09-11,102502.3463131943
2018-09-12,102200.09319791869
2018-09-13,103291.599688193
2018-09-14,102989.33759545762
2018-09-17,101506.00987385966
2018-09-18,102345.60884320509
2018-09-19,102267.23561948059
2018-09-20,103397.98258637573
2018-09-21,102832.6001254684
2018-09-24,103118.6130160341
2018-09-25,103258.76911784243
2018-09-26,103331.66609111194
2018-09-27,104206.47465764494
2018-09-28,104184.04896315881
2018-10-01,104188.54329834701
2018-10-02,103953.49021822122
2018-10-03,104065.41257678541
2018-10-04,102067.5196326143
2018-10-05,100819.49394749131
2018-10-08,100203.8851372972
2018-10-09,100528.48864760622
2018-10-10,96107.33149625154
2018-10-11,94915.27594993344
2018-10-12,97556.79413203083
2018-10-15,96375.9648677557
2018-10-16,99179.72208834814
2018-10-17,99218.92896003216
2018-10-18,96918.7954744102
2018-10-19,96829.25400374974
2018-10-22,97327.3228345968
2018-10-23,96969.15695195497
